Salario,Empresa,Comuna,Región,Cargo,Descripción
NaN,S3 Chile,Santiago Centro,Metropolitana,Jefe de Proyecto,"Buscamos un Líder Técnico o Jefe de Proyecto con un fuerte enfoque en el desarrollo de software, procesos, reportería y herramientas de BI. Experiencia tanto en liderazgo de equipos técnicos como en la ejecución directa de desarrollos. Este rol será el responsable de supervisar un equipo encargado de optimizar y automatizar los procesos de carga de datos, la creación de reportes y dashboards, y la implementación de soluciones técnicas en estrecha colaboración con las áreas de negocio. Responsabilidades: Liderazgo de equipo: Coordinar y dirigir un equipo técnico de ingenieros para la implementación y mejora continua de procesos ETL, desarrollos de software y pruebas de software. Gestión de proyectos: Planificar, ejecutar y monitorear proyectos relacionados con la optimización de procesos de carga de datos y la creación de reportes, asegurando la entrega dentro de plazos establecidos. Desarrollo técnico: Participar activamente en la creación de soluciones técnicas, optimización de consultas SQL y aseguramiento de la calidad de los datos en procesos ETL. Automatización de reportes y dashboards: Supervisar la automatización y optimización de reportes y dashboards utilizando herramientas como Power BI, Quicksight, entre otras. Aseguramiento de la calidad de los datos: Implementar y supervisar procesos de validación y control de calidad de los datos. Interacción con equipos de negocio: Actuar como el puente entre el equipo técnico y las áreas de negocio para entender sus necesidades y traducirlas en soluciones técnicas efectivas. Documentación y capacitación: Elaborar y mantener documentación técnica de los procesos, así como capacitar y brindar soporte al equipo en nuevas tecnologías y buenas prácticas. Requisitos: Título en Ingeniería Informática, Ingeniería de Sistemas, o afines. Mínimo 3 años de experiencia como líder de proyectos o jefe de equipo en el desarrollo de soluciones Software, ETL y BI. Conocimiento avanzado en SQL, Node.js, Angular, Reactivarles y Pentaho, así como experiencia en la creación de soluciones con herramientas de BI (Power BI, Quicksight, etc.). Experiencia en la gestión de equipos multidisciplinarios, con capacidad para guiar y motivar a los miembros del equipo. Habilidades de gestión de proyectos, incluyendo planificación, seguimiento de tareas y manejo de tiempos. Conocimientos sólidos en automatización de procesos, optimización de cargas de datos y diseño de soluciones escalables. Capacidad para interactuar y negociar con áreas de negocio para traducir sus requerimientos en soluciones técnicas efectivas. Beneficios: Salario competitivo acorde a la experiencia y habilidades. Modalidad presencial con posibilidades de trabajar en proyectos internacionales. Oportunidades de desarrollo profesional con acceso a cursos, certificaciones y talleres. Seguro complementario, convenios con gimnasios y otros beneficios.-Requerimientos- Educación mínima: Universitaria / I.P. / C.F.T. 3 años de experiencia Palabras clave: lider, jefe, gerente, manager, director, chief, lead, jefatura, regente, project"
NaN,Progestion Chile,Maipú,Metropolitana,"Mercaderista FT Reemplazo vacac/ Lun a Sáb 7:30 a 15:30 / Ruta San Bernardo, San Miguel, Maipú","Importante Empresa del rubro alimenticio, se encuentra en búsqueda de un reponedor full time para realizar reemplazo de vacaciones en rutas comunas San Bernardo, El Bosque, La Cisterna, San Miguel, Santiago y Maipú  Funciones: Reponer, mantener orden y limpieza de los productos en sala. Actualización de Flejes, Manejo de stock de productos, entre otros.  Requisitos: Disponibilidad para trasladarse por los distintos puntos. Ideal experiencia en reposición en supermercados. Disponibilidad inmediata. Vivir en la comuna o cercano a la zona.  Reemplazo de vacaciones 15 días fecha inicio: 14/02/2025 fecha término: 28/02/2025  Horario: Lunes a Sábado de 7:30 a 15:30  Renta Liquida Mensual: $312.000 más bono de movilización variable  RUTA: Locales DIRECCION JUMBO NOS(L.843) Av Pdte.Jorge Alessandri 20040, San Bernardo Tottus San Bernardo Estacion L102 Arturo Prat 117 Sn Bdo Estacion, San Bernardo Tottus San Bernardo Plaza L101 Gran Avenida 10445, El Bosque Tottus El Bosque L112 Goycolea 47, La Cisterna JUMBO LLANO(L.513) El Llano Subercaseaux N3519, San Miguel JUMBO ARAUCO MAIPU(L.503) Av. Americo Vespucio N1001, Maipú JUMBO PAJARITO(L.770) Av. Pajaritos N3302, Maipú Lider Express Gran Avenida L56 Gran Avenida 4004, San Miguel TOTTUS NATANIEL (L.104) Nataniel Cox 620, Santiago LIDER NOS(L.620) B Ohiggins 528 Plaza, San Bernardo Unimarc Gran Avenida (L.328) Gran Avenida 5485, San Miguel LIDER GRAN AVENIDA(L.32) Gran Avenida 6150, San Miguel Tottus La Cisterna L132 Gran Avenida 8999, La Cisterna  ¡Postula con Nosotros!.   -Requerimientos- Educación mínima: Educación media C.H. / Técnica 1 año de experiencia Edad: entre 22 y 52 años Palabras clave: comerciante, merchandiser, merchant"
850000,Atcom,Copiapó,Atacama,Mecánicos automotrices - Copiapo,"En ATCOM, nos encontramos en búsqueda de mecanicos automotriz para trabajar en prestigiosa empresa dedicada a servicios de rent a car y leasing operativo ubicada en Copiapo  Funciones: -Realizar labores preventivas y de mantenimientos a vehículos de la empresa que ingresen a taller.Requisitos: -2 años de experiencia en mantenimiento y reparaciones de vehículos, en talleres automotrices, concesionarias de vehículos o departamentos de mantención de flotas. -Estudios relacionados en el área -Residencia en comunas cercanas a lugar de trabajo  Ofrecemos: -Horario: Lunes a jueves de 8:00 a 18:00 y viernes de 8:00 a 17:00 -Renta líquida: $850.000 liquido aprox.-Requerimientos- Educación mínima: Universitaria / I.P. / C.F.T. 1 año de experiencia Edad: A partir de 25 años "
NaN,Progestion Chile,Maipú,Metropolitana,"Mercaderista Full time AM / Ruta Maipú, Cerrillos","Importante empresa de perfumería, aseo y limpieza necesita un mercaderista full time para realizar ruta en las comunas de Maipú y Cerrillos  Jornada Laboral: LUN - MAR - JUE - VIE - SAB de 07:30 a 15:30 hrs. MIE de 07:30 a 14:30 hrs  Locales a cubrir: MA3038 - 2 NORTE 1373 MAI291 - AV. 5 DE ABRIL 33 SIS589 - EL ROSAL 3999 CRV053 - AVENIDA LOS PAJARITOS 1920 MA3051 - AVDA. GLADYS MARIN 6664 MA3010 - AV. GLADYS MARIN 6480 AL3083 - AV PAJARITOS 1637 SYB556 - AVDA.PAJARITOS 2624 MA3053 - AVDA. AMERICO VESPUCIO 1601, CERRILLOS   Renta : $590.000 líquido mensual.  Funciones: Ordenar, Reponer y ordenar stock de productos  Requisitos: Contar con experiencia en reposición ruta en supermercados. Contar con disponibilidad inmediata para trabajar  ¡¡ Postula con nosotros !!.   -Requerimientos- Educación mínima: Educación media C.H. / Técnica 1 año de experiencia Edad: entre 23 y 50 años Palabras clave: comerciante, merchandiser, merchant"
NaN,Ingenieria informatica Kibernum S.A.,Las condes,Metropolitana,Desarrollador FullStack,"Kibernum es una compañía chilena con 33 años de experiencia en la industria IT, con presencia en Chile y Colombia. Contamos con un equipo de más de 1.500 colaboradores especializados en IT Staffing, IT Academy y IT Consulting.  Requisitos clave: Más de 1 año desarrollando aplicaciones en Java (indispensable conocimiento en Java 17 y Cloud GCP). Experiencia con Spring Framework 6, Angular, Jenkins, PostgreSQL, BigQuery y Git (o repositorios similares). Deseable: Conocimientos en Mockito, Hibernate, JUnit y Maven (no excluyente). Condiciones: Contrato plazo fijo por 2 meses, luego indefinido.  Modalidad híbrida (asistencia 2 veces a la semana). Horario: Lunes a viernes de 08:30 a 18:30 hrs. Si te apasionan los desafíos tecnológicos y buscas estabilidad, esta es tu oportunidad!  ¡Sé parte de un equipo dinámico y comprometido!  .   -Requerimientos- Educación mínima: Educación media C.H. / Técnica 2 años de experiencia Palabras clave: developer, programador"
550000,Atcom,Mostazal,Libertador B. O Higgins,Operador de Grúa Horquilla - San Francisco de Mostazal,"Importante empresa del rubro industrial se encuentra en búsqueda de Gruero para la 6ta región - San Francisco de Mostazal.   Horario: Turnos rotativos mañana, tarde y noche Sistema de turno: Mañana: 06:00 a 13:30 Tarde: 13:30 a 21:00 Noche: 21:00 a 06.00  Beneficios: Colación  Movilización  Funciones: Operar grúas horquillas y cargar los camiones con cargas de pallets  Requisitos: Mínimo 3 años de experiencia Disponibilidad para realizar turnos rotativos Licencia clase D al día  Renta: 550.000 líquidos + bono de asistencia (50.000) + bono de temporada (50.000)   650.000 Aprox líquidos.   ¡Te esperamos, postula con nosotros!.   -Requerimientos- Educación mínima: Educación media C.H. / Técnica 1 año de experiencia Palabras clave: operator, operario, operator, crane, grua"
NaN,Progestion Chile,Huechuraba,Metropolitana,Gestor de ventas full time/Reemplazo de Vacaciones hasta el 07.03 / Ruta: Huechuraba,"Grupo Progestion busca los mejores gestores de venta para importante cliente que trabaja con productos de medicina y nutrición, para realizar ruta en la comuna de Huechuraba.  Funciones: Mantener stock de productos y presentación de acuerdo a stock. Reponer productos en la sección asignada. Mantener el orden y limpieza de las góndolas. Actualizar los flejes  Requisitos: Experiencia en reposición de supermercados o farmacias. Disponibilidad para realizar ruta. Vivir en Curicó o comunas cercanas. Disponibilidad para trabajar los sábados. Habilidades de comunicación escrita y habilidades numéricas, para contar y registrar los niveles de stock. Ser metódico y cuidadoso. Un comportamiento agradable, servicial, ya que por lo general el trabajo incluye tareas de servicio de atención al cliente. Buen ojo para la disposición espacial de los productos.  Jornada laboral:  LUN - MAR - JUE - VIE 08:00 17:00 MIE 08:00 16:00  SAB 08:00 13:00  Sueldo líquido estimado: $ 630.000 (proporcional a los dias trabajados)  Si cuentas con las aptitudes técnicas y experiencia ¡postula con nosotros!.   -Requerimientos- Educación mínima: Educación media C.H. / Técnica 1 año de experiencia Edad: entre 25 y 55 años Palabras clave: residente, encargado, supervisor, subgerente, responsable, coordinador, gestor, capitan, cambaceo, sales, tourism, viaje, travel, vacaciones, holidays, turistico, tourist, turismo"
350000,Diseño e Implementación,San Miguel,Metropolitana,Diseñadora Industrial en Práctica Profesional - en Fabrica de Exhibidores y muebles,"Diseñadora Industrial en Práctica Profesional  Estamos buscando una Diseñadora Industrial con habilidades avanzadas en herramientas de diseño para unirse a nuestro equipo en una posición de Práctica Profesional. Si tienes una pasión por el diseño de productos y una habilidad demostrada en el uso de software como 3ds Max, Adobe Illustrator, Adobe Photoshop y AutoCAD, este podría ser el lugar perfecto para ti.  En esta posición, serás responsable de trabajar en el desarrollo de productos desde la conceptualización hasta la implementación. Tu capacidad para crear diseños visuales atractivos y funcionales será crucial para el éxito del proyecto. Además, tu habilidad para gestionar proyectos y presentar tus ideas de manera efectiva es esencial para colaborar con nuestros equipos internos y externos.  Requisitos:  - Experiencia demostrable en el uso de 3ds Max u otros Software de modelados y renderizáados, Adobe Illustrator, Adobe Photoshop y AutoCAD. - Conocimientos avanzados en diseño de producto. - Habilidad para planificar y ejecutar proyectos de principio a fin. - Capacidad para crear presentaciones claras y persuasivas. - Dominio de Microsoft Excel para análisis de datos y planificación.  - Tiempo de práctica requerido: minimo,  360 horas, máximo: 540 horas.  Si tienes un enfoque meticuloso y una creatividad inagotable, y estás buscando una oportunidad para aplicar tus habilidades en un entorno dinámico, esta posición es para ti. Únete a nosotros y contribuye al diseño de productos innovadores que transformarán la industria.  El trabajo será de tipo presencial en nuestras oficinas, en la comuna de San Miguel. Si estás interesado en esta oportunidad, por favor envía tu currículum y un portafolio que muestre tu trabajo más destacado.-Requerimientos- Educación mínima: Universitaria / I.P. / C.F.T.  años de experiencia Edad: entre 21 y 30 años Conocimientos: Microsoft Excel, 3ds Max, Adobe Ilustrator, Adobe Photoshop, AutoCAD, Desarrollo de producto, Diseño, Planificación de proyectos, Presentaciones Disponibilidad de viajar: Si Palabras clave: industry, industrial, industria, experto, profesional, professional, expert"
NaN,BairesDev LLC,Puente Alto,Metropolitana,Trabajo Desde Casa Desarrollador Senior iOS / Ref. 0047,"En BairesDev® llevamos 15 años liderando proyectos de tecnología para clientes como Google, Rolls-Royce y las startups más innovadoras de Silicon Valley. Actualmente, contamos con un equipo de 4000 profesionales conformado por el top 1% de la industria trabajando de forma remota desde más de 50 países.   Al postularte a esta vacante, estarás dando el primer paso en un proceso que va más allá de lo convencional: Buscaremos conocer en profundidad tus habilidades, intereses y expectativas con el objetivo de realizar una búsqueda personalizada y encontrar el rol ideal para ti en BairesDev.  Desarrollador Senior iOS en BairesDev  Ser un Desarrollador Senior iOS en nuestro equipo de Desarrollo es como ser un solucionador de problemas a tiempo completo. Esperamos que tus habilidades sean una combinación de experiencia, conocimientos e independencia. Innovación también está en el corazón de la estrategia en BairesDev. Así que, si estás dispuesto a asumir las tareas más complejas y ser un maestro en tu pila de tecnología, para iOS, entonces tu eres probablemente uno de esos únicos que estamos buscando.  ¿Qué harás?  - Crear excelentes aplicaciones móviles que se integren con servicios en la nube. - Participar en el ciclo de vida completa del desarrollo de producto, desde la ideación hasta la entrega y el soporte. - Trabajar dentro de un equipo de rápido movimiento para desarrollar diseños nítidos, crear un gran código y llevar productos al mercado rápidamente. - Liderar el desarrollo e implementación de nuevas mejoras claves. - Ayudarnos continuamente a evolucionar nuestros procesos y diseños para generar una ventaja competitiva.  - Crear maquetas y prototipos para expresar ideas y recopilar feedback. - Compartir tus pensamientos e ideas de manera libre y constructiva, pero también escuchar bien a los demás.  - Crear las mejores aplicaciones móviles para dispositivos iOS y relojes inteligentes.  ¿Qué Buscamos?:  - 6+ años de experiencia trabajando como desarrollador. - 5+ años de experiencia en desarrollo iOS. - Experiencia con bases de datos SQL y NoSQL. - Experiencia con Microservicios y la Nube. - Conocimiento avanzado en algoritmos. - Conocimiento en infraestructura de TI. - Gestión de metodología ágil intermedia. - Sólida comprensión de las mejores prácticas, principios SÓLIDOS, código LIMPIO y soluciones escalables. - Conocimiento en diseño de patrones. - Experiencia desarrollando aplicaciones completas desde cero. - Experiencia en pruebas automatizadas, procesos CI/CD. - Experiencia sólida en control de versiones. - Experiencia comprobada en pruebas unitarias, pruebas integrales y cobertura de código. - Nivel Avanzado de Inglés.  Qué ofrecemos para que tu trabajo (y tu vida) sea más fácil:  - Trabajo 100% remoto: trabaja desde tu casa o donde quieras. - Compensación en USD o en tu moneda local, como prefieras, muy por encima de la media del mercado. - Hardware y software. - Horarios flexibles - Licencias por mater/paternidad, vacaciones y días festivos nacionales pagos. - Ambiente laboral multicultural e innovador, perfecto para hacer amigos, colaborar y aprender de las personas más talentosas del mundo. - Oportunidades de crecimiento y desarrollo profesional a través de mentorías y entrenamientos.  ¡Únete a nuestro equipo global!.   -Requerimientos- Educación mínima: Universitaria / I.P. / C.F.T. 5 años de experiencia Idiomas: Inglés   Conocimientos: Tecnología de la información, SWIFT, Lean, Agile Palabras clave: remoto, remote, teletrabajo, home, developer, programador, senior, sr"
NaN,Progestion Chile,Santiago Centro,Metropolitana,"Promotores de Audio y Video  / Peak time 5x2 rotativos / Santiago, Maipú y Cerrillos.","Empresa líder en el área de la venta y reposición de artículos de audio y video, se encuentra en la búsqueda de un Promotor de productos para tienda retail.    La principal función del cargo consiste en promocionar, asesorar y vender los productos disponibles de las marcas asociadas, manteniendo y reponiendo el stock de productos y preocupándose de la presentación de estos en el punto de venta asignado.    Requisitos:  - Experiencia comprobada en promoción, reposición y/o ventas en cadenas de supermercados y/o retail.  - Experiencia promocionando o vendiendo artículos de tecnología como monitores, televisores o pantallas (deseable)  - Disponibilidad inmediata para trabajar  - Proactividad, compromiso y responsabilidad.  - Excelentes habilidades de comunicación y trabajo en equipo.    Ofrecemos:  Sueldo liquido estimado $600.000  Jornada: 5 x 2 rotativos de 13.30 a 20.00    Si eres una persona dinámica, con la capacidad de trabajar bajo presión y estás dispuesto a afrontar nuevos desafíos, ¡¡¡ Postula con nosotros !!!.-Requerimientos- Educación mínima: Educación media C.H. / Técnica 1 año de experiencia Edad: entre 25 y 45 años "
NaN,Progestion Chile,Punta Arenas,Magallanes y Antártica Chilena,Mercaderista Part Time de 23 horas semanales en ruta para la comuna de Punta Arenas,"Importante Empresa del rubro ferretero , se encuentra en búsqueda de un reponedor Part Time que deba realizar ruta para la comuna de Punta Arenas.  Funciones: Reponer, mantener orden y limpieza de los productos en sala. Actualización de Flejes, Manejo de stock de productos, entre otros.  Requisitos: Experiencia trabajando en ruta. Ideal experiencia en reposición en supermercados y/o ferreterías. Disponibilidad inmediata. Vivir en la comuna o cercano a la zona.  Horario de Lunes a Jueves, que se distribuye de la siguiente manera: LUN 08:00 13:00 MAR - MIE - JUE 08:00 14:00  Local Fijo: XII REGION S24 -  AV. PDTE EDUARDO FREI MONTALVA 01400 PUNTA ARENAS  Fecha de ingreso: La primera semana de Marzo Renta Mensual estimada de $370.000 pesos líquidos  ¡Postula con Nosotros!.   -Requerimientos- Educación mínima: Educación media C.H. / Técnica 1 año de experiencia Edad: entre 22 y 55 años Palabras clave: comerciante, merchandiser, merchant"
NaN,BRINKS,Antofagasta,Antofagasta,Administrativo de Sucursal  Antofagasta,"Importante empresa de Transporte de valores busca un Administrativo de Sucursal para unirse a nuestro equipo en Antofagasta. Serás responsable de gestionar y coordinar las actividades administrativas y operativas de la sucursal.    Responsabilidades:  Coordinar y supervisar las actividades administrativas y operativas de la sucursal.  Elaborar informes y reportes de gestión.  Controlar y gestionar la documentación de la sucursal.  Brindar soporte a los colaboradores en temas administrativos y de recursos humanos.    Requisitos:  Estudios en Administración, Contabilidad o carreras afines.  Experiencia previa 1 año en roles administrativos y de gestión. (Asistencia y turnos, licencia Medica) Manejo de herramientas informáticas (Microsoft Office).  Excelentes habilidades de comunicación y trabajo en equipo.    Nosotros promovemos la igualdad de oportunidades y la no discriminación laboral. Valoramos la diversidad y nos comprometemos a brindar un ambiente laboral inclusivo y respetuoso.    ¡Únete a nosotros y forma parte de una empresa líder en el rubro de la seguridad!.   -Requerimientos- Educación mínima: Educación media C.H. / Técnica 1 año de experiencia Conocimientos: Liderazgo, Administración Palabras clave: administrative, branch, sucursal"
800000,Atcom,Quilicura,Metropolitana,Técnico Electromecánico - Quilicura,"Importante empresa dedicada a la sanitización, embalaje y entrega de cajas plásticas está en búsqueda de electromecánico para la comuna de Quilicura.  Objetivo del cargo: Mantener los equipos y maquinarias en perfectas condiciones, con el fin de evitar fallas en el proceso de producción diaria.  Renta: $800.000 Horario: Turnos rotativos (AM, PM, Noche) 4x4 de 12 horas, considerando fines de semana y festivos. Cuenta con 1 hora de colación Se ofrece: Colación y uniforme  Requisitos: -Contar con experiencia de 3 años en plantas industriales, relacionadas con maquinaria y equipos. -Profesional nivel superior o técnico en: Mecánica industrial, electricidad industrial, automatización, electromecánica, electrónica, electrónica industrial o carreara a fin. -Tener conocimiento en lectura de planos eléctricos de circuitos de control, programación e instalación de VDF, neumática básica, hidráulica básica, instalación y conexión de motores eléctricos trifásicos-monofásicos, cambio de rodamientos y mecánica general.  -Requerimientos- Educación mínima: Educación media C.H. / Técnica 1 año de experiencia Palabras clave: tecnologo, tecnico, tech, technician, technology, tecnologia, technologist"
NaN,Salinas y Fabres S.A,La Serena,Coquimbo,Técnico Mecánico D Servicio Pesado - La Serena,"TÉCNICO SERVICIO PESADO  ¡Salfa te invita a formar parte de su equipo!  Nuestra empresa está en búsqueda de un profesional con muchas ganas de crear y participar en la mejora continua. Si eres un apasionado por el mundo automotriz y pesado y te interesa trabajar en un ambiente colaborativo y con 100% actitud positiva. ¡Esta oportunidad es para ti!  ¿Qué harás en esta posición? El objetivo del cargo es realizar diagnóstico y análisis de las posibles causas de la falla de maquinaria y camiones; asimismo efectuar mantenimiento y/o reparaciones según corresponda, identificando y solicitando los repuestos a utilizar, junto con levantar alerta temprana en caso de inconvenientes. A su vez, guiar el desempeño de los ayudantes de los técnicos mecánicos, entre otras funciones.  Funciones: Realizar mantención preventiva y correctivas de camiones y maquinarias, cambios de embrague, reparación de cajas de cambio, reparación de sistema eléctrico, recepción de equipos, carga y descarga de equipos, atención a clientes en terreno (mantenciones y reparaciones )  ¿Qué necesitas para postular? - Titulo Técnico Nivel Superior en Mecánica, Ingeniería Mecánico/Maquinaria pesada o estudios afín. - Al menos 1 año trabajando como Mecánico en Maquinaria pesada. - Residencia en Iquique.  Horario Lunes a Viernes 08:30 a 13:15 - 14:15 a 18:30 Horas.   Te invitamos a postular, y ser parte de una de las mejores compañías de Chile para trabajar!.   -Requerimientos- Educación mínima: Educación media C.H. / Técnica Menos de 1 año de experiencia Licencias de conducir: A4 ,B   Palabras clave: tecnologo, tecnico, tech, technician, technology, tecnologia, technologist, mechanic, mecanico, service"
600000,Atcom,Pudahuel,Metropolitana,Bodeguero Multifuncional - Pudahuel,"Importante empresa del rubro de Productos Infantiles se encuentra en búsqueda de su próximo Bodeguero Multifuncional para su planta en Pudahuel.  Requisitos excluyentes: -Enseñanza Media Completa. -Experiencia Laboral de al menos 6 meses -Licencia clase D  Renta liquida mensual: $600.000  Jornada laboral: - Formato presencial en Pudahuel. - Lunes a jueves de 8:00 a 17:45, Viernes de 8:00 a 17:00 hrs con 45 minutos de colación  Funciones: 1. Orden y limpieza en Bodega 2. Descarte de Producto 3. Descarga de producto 4. Picking 5. Apoyo en manejo de la traspaleta eléctrica 6. Apoyo multifuncional en bodega 7. Otras funciones relevantes a su cargo.   -Requerimientos- Educación mínima: Educación media C.H. / Técnica Menos de 1 año de experiencia Edad: entre 25 y 45 años Palabras clave: warehouseman, bodeguero, almacenista, polivalente, multiusos, versatil, multifuncion, plurifuncional, multifuntion, polifacetico"
600000,GRUPO EXPRO,San Bernardo,Metropolitana,Asistente administrativo transporte - San Bernardo,"GrupoExpro junto a importante empresa de transporte de carga y almacenaje multindustria, se encuentra en busca de un para Coordinador o asistente de de transporte la comuna de San Bernardo. La postulación se encuentra abierta para que puedan postular personas con discapacidad o bajo el marco de la ley 21.015. Si requieres algún ajuste razonable para participar en el proceso de selección, avísanos para facilitar tu participación en igualdad de oportunidades (Ley 20.422).       Principales funciones:   Coordinar los viajes u OT (operadores de transporte) de las cargas asignadas a los transportes y a su vez generar los cierres de cada viaje en los sistemas de gestión   Consolidar y proporcionar la información de los status de servicios asignados, entregándolos a las distintas áreas involucradas.    Consolidar la asignación de carga a la Flota de arriendos fijos.    Cumplir con las normas establecidas por la empresa en materia de salud, seguridad, medio ambiente y calidad.       Horario:   Lunes a jueves de 08:30 a 18:00 hrs    Viernes de 08:30 a 17:00 hrs       Lugar de trabajo: San Bernardo (presencial)   Renta: 600.000 liquido mensual       Requisitos:   •	Titulado de Técnico en logística, comercio exterior o afín.    •	Experiencia 1 año en funciones similares en empresa de transporte o CD   •	Dominio en Excel intermedio    •	Dominio de algún software o sistema logistico    •	Competencias necesarias: comunicación efectiva, trabajo en equipo, adaptabilidad y flexibilidad.       Contrato por servicio transitorio.   Si te encuentras interesado/a y cumples con los requisitos, postula con nosotros.   ¡Te esperamos!        Preguntas de filtrado .   -Requerimientos- Educación mínima: Universitaria / I.P. / C.F.T. 2 años de experiencia Palabras clave: ayudante, asistente, auxiliar, aux, auxiliary, assistant, helper, aide, administrative"
NaN,NaN,NaN,NaN,NaN,NaN
NaN,Progestion Chile,Ñuñoa,Metropolitana,Practicante  Recursos Humanos DO y Bienestar - Practica en Recursos Humanos  Ñuñoa ,"Grupo Progestion se encuentra en búsqueda de practicante de Recursos Humanos,  Requisitos: -Estudiantes que requieran realizar su practica profesional (Técnico- Ingeniería en Recursos Humanos , Psicólogos e  Ingenieros comerciales o carreras a fin)  - Manejo en excel -Persona comprometida, ordenada y dispuesta a aprender  Horario: Lunes a Jueves de 9 a 18 hrs - Vienes de 9 a 16hrs. (Presencialidad)120.000$ bono de practica  Postula con nosotros.   -Requerimientos- Educación mínima: Universitaria / I.P. / C.F.T.  años de experiencia Palabras clave: intern, practicante, becario, pasante, resources, human"
NaN,Abenis,Las condes,Metropolitana,Jefe de Proyectos    Java Rest Api P M I,"En ABENIS estamos en búsqueda de un Jefe de Proyectos FUNCIONES _ Implementación de proyectos de servicios tecnológicos, alineados a los planes estratégicos del negocio, directrices financieras y tecnológicas, _ Levantamiento de proyectos Desarrollo e implementación, la asignación del tiempo para las mismas, y la asignación de éstas tareas a cada recurso, con el fin de lograr los objetivos planteados y dando cumplimiento a los lineamientos definidos. _Apoyar en la elaboración del plan de trabajo de las tareas de cada fase de desarrollo e implementación del proyecto. _Evaluar la tecnología más adecuada, y validar el diseño técnico con el comité de arquitectura. _Controlar y liderar implementación. _Gestionar con proveedores de Desarrollo y Desarrolladores internos _Controlar la calidad de los entregables de cada proyecto, estableciendo métodos, procedimientos y estándares que serán usados en el desarrollo. Formación: Ingeniero Informático Requisitos Excluyentes: Experiencia en manejo de proyectos, que puedan manejar al menos 2 en simultáneo. Contar con capacitación o Cursos de PMI,  trabajar bajo el estándar de metodologías de desarrollo de proyectos. Metodologías Agiles Deben tener el conocimiento y Experiencia en herramientas TI: Java, Nodejs, Cloud (puede ser cualquiera, pero poder trabajar con alguna de estas nubes),                   Servicios REST, API, Implementación de Microservicios, Base de Datos como Postgress o                MongoDB. Es un PLUS la experiencia Financiera  EXPERIENCIA: al menos 36 meses en el cargo MODALIDAD: hibrida, comuna de Las Condes HORARIO: Lunes a viernes de 9:00 a 18:00 Horas  Interesados enviar currículo con detalle de experiencia.   -Requerimientos- Educación mínima: Universitaria / I.P. / C.F.T. 5 años de experiencia Palabras clave: lider, jefe, gerente, manager, director, chief, lead, jefatura, regente"
650000,Atcom,Quilicura,Metropolitana,Operario de producción - Quilicura,"Importante empresa Papelera y de Adhesivos se encuentra en búsqueda de sus próximos Operarios de Producción para su planta en Quilicura.  Requisitos excluyentes: -Enseñanza media completa. -Experiencia laboral en Producción.  Jornada laboral: -Formato presencial en Quilicura. -Turnos rotativos: -Turno 1: Lunes a Jueves de 7:00 a 16:30 hrs y Viernes de 7:00 a 15:30 hrs. 30 minutos de colación. -Turno 2: Lunes a Jueves: 12:30 a 22:00 hrs y Viernes: 12:30 a 21:00 hrs. 30 minutos de colación. -Turno 3: Lunes a Jueves: 8:00 a 18:00 hrs y Viernes de 8:00 a 17:00 hrs. 1 hora de colación.  Renta liquida mensual: $550.000 + 100.000 (Bono por responsabilidad)  Funciones del cargo: -Preparar los conos para el embobinado del material asignado de acuerdo a los requerimientos del operador. -Asignar el material a procesar según requerimiento del operador; previamente solicitado al encardo de bodega. -Preparar el material para su proceso en Maquina asignada. -En el proceso documental debe encargar se generar el registro del proceso del Material. -Se debe encargar de los desechos iniciales y de residuos del Material Procesado. -Preparar pallets para embalar el producto terminado. -Identificar Productos terminado de acuerdo con el requerimiento del Cliente como por ejemplo Packingklist, Etiqueta Adicionales etc. -Realizar descarga de rollos del eje de producto terminado al pallet con ayuda del operador -Dejar en zona de despacho Material Procesado debidamente empaquetado, identificado y organizado según OC.-Requerimientos- Educación mínima: Educación media C.H. / Técnica 1 año de experiencia Edad: entre 35 y 40 años Palabras clave: operator, operario, operator, production, produce, fabricacion, manufactoring, elaboracion, making, manufactura, produccion"
800000,Atcom,Pudahuel,Metropolitana,Auxiliar de Aduana con licencia B - Pudahuel,"En ATCOM, nos encontramos en búsqueda de un Auxiliar de Aduana, que pueda prestar apoyo en el despacho de productos para empresa ubicada en la comuna de Pudahuel, sector de aeropuerto.   Funciones: - Retirar y entregar productos a los clientes  - Representante ante la Aduana, retirar Carga y Entrega  - Labores administrativas en comercio exterior  Requisitos: - Residir dentro de la comuna o aledañas (NO hay bus de acercamiento)  - Licencia B, Al Dia  - Experiencia mínima de 1 Año en el cargo en temas de despacho.  - Contar con conocimientos en relación a comercio exterior.    Condiciones: -Renta liquida: $800.000 -Horario: Artículo 22 -Se entrega vehículo para los despachos.  -Requerimientos- Educación mínima: Educación media C.H. / Técnica 1 año de experiencia Edad: A partir de 20 años Palabras clave: ayudante, asistente, auxiliar, aux, auxiliary, assistant, helper, aide"
