Oferta;Salario;Beneficios;Empresa;Descripcion;Ubicacion;Fecha_Publicacion;Fecha_Expiracion
"PROGRAMADOR LARAVEL Y VUE.JS ( 100% REMOTO)";"Entre 950.000 a 1.200.000 liquido...";"-La empresa paga o copaga una cobertura de salud adicional.
-No es necesario ir a la oficina, puedes trabajar completamente desde tu casa.
-El día de tu cumpleaños es canjeable por un día completo de vacaciones.
";"Consistor Chile";"Buscamos a Profesional del área de Informatica con experiencia de al menos de 2 años comprobable en desarrollo WEB y Móvil con solidos conocimientos en PHP, Linux ademas con capacidad de analisis y gestion de proyectos para el cargo de desarrollador con contrato Indefinido y 100% remoto
con solidos conocimientos de programacion de aplicaciones WEB y Movil para integrarse a solida empresa .
Conocimientos :

- PHP
- VUE.js
- Express
- Postgresql
- LARAVEL
- LINUX

Deseables: C#, Docker, Git, Sql Server y Linux

Requisitos.
*Profesional TI con al menos 2 años de Experiencia en Desarrollo bajo PHP, Conocimientos sólidos en aplicaciones web y Moviles, sumado a manejo de Base de datos SQL Server)
Renta Ofrecida para el cargo entre entre 950.000 a 1.200.000 según experiencia con contrato indefinido.
Interesados enviar curriculum actualizado con pretensiones de renta y disponibilidad a consitor.reclutamiento@gmail.com";"Santiago";"2025-01-13 07:53:31";"2025-03-29 (en 5 días)"
"SCRUM MASTER ( CON 4 AÑOS DE EXPERIENCIA EN EL CARGO)";"Entre 2,500.000 a 4.000.000 liquido...";"-No es necesario ir a la oficina, puedes trabajar completamente desde tu casa.
-El día de tu cumpleaños es canjeable por un día completo de vacaciones.
-La empresa esta adscrita a la mutual de seguridad
-La empresa esta adscrita a una caja de compensación
";"Consistor Chile";"SCRUM MASTER
Buscamos a los mejores profesionales para el cargo ofrecido,

SCRUM MASTER

Funciones del cargo
Scrum Master-Programación y presidencia de ceremonias de scrum

-Supervise el progreso del equipo scrum mediante la preparación de informes / gráficos

-Entrenar al equipo de desarrollo y ayudar a liderar y asegurar que la "mentalidad ágil" se adopte y comprenda por completo-Inculcar valores ágiles centrales de enfoque, compromiso, respeto, apertura y coraje en las reglas básicas del equipo a través del ejemplo.

-Evaluar y entrenar al equipo a niveles más altos de desempeño, rastreando métricas de aceleración

-Implementar y promover el uso de metodología ágil dentro del equipo:Identificar, gestionar y ayudar a mitigar problemas y riesgos, con especial énfasis en la eliminación oportuna de los impedimentos para el equipo y / o dirigir los obstáculos a los propietarios apropiados para una rápida resolución.

-Facilitar la identificación y ejecución de estrategias de mejora para aumentar la productividad del equipo y la calidad de los entregables.Desarrollar una asociación sólida con el propietario del producto, el diseñador de UX y el líder de entrega para obtener una sólida comprensión de los objetivos y los plazos

-Comunicarse de manera efectiva con diversas audiencias dentro y fuera del equipo de desarrollo.

-Asóciese con otros equipos ágiles para compartir hallazgos, mejores prácticas y recursos para ayudar a madurar la agilidad de CCAUGestión de proyectos ágiles-Seguimiento de proyectos / iniciativas / lanzamientos

-Preparar la hoja de ruta de lanzamiento y la planificación de la capacidad, si es necesario-Documente el estado del proyecto y ayude al equipo a mantener los repositorios de información-Comunicar los riesgos del proyecto a la gerencia

-Trabajar con varios equipos para lograr la entrega de proyectos de un extremo a otro

-Trabajar con todos los equipos dependientes y preparar el plan de implementación de producción

-Planificar y respaldar lanzamientos y actividades relacionadas con el lanzamiento-Gestión de los interesados

-Mantenga a todas las partes interesadas actualizadas sobre el estado del proyecto y los obstáculos-Capacidad para establecer expectativas con todas las partes interesadas, ejecutarlas y comunicarse en consecuencia Identificación de riesgos y problemas que requieren la atención del liderazgo de CCAU DF

-Capacidad para trabajar eficazmente con los gerentes senior de ingeniería cuando sea necesario para remediar el riesgo en torno a la entrega del proyecto.

Requisitos técnicos
5 años de experiencia en TI-Más de 5 años de experiencia en la gestión y entrega de proyectos de software complejos.-Conocimiento experto y comprensión de las prácticas, disciplinas, herramientas y metodologías de gestión de proyectos, junto con experiencia laboral como ScrumMaster en un proyecto / iniciativa reciente, con equipos de desarrollo.-Demuestra un gran conocimiento de la metodología ágil al entregar proyectos de TI-Excelentes habilidades de comunicación verbal y escrita, con capacidad para comunicarse en un amplio espectro (desde discusiones técnicas profundas hasta visión ejecutiva de alto nivel)-La experiencia previa en banca y servicios financieros es un activo-Bilingüe es una ventaja, pero debe tener buenas habilidades de comunicación en inglés.

Datos adicionales

-Manejo de canales web y mobile
-Manejo de Production Release Management and planning

Se Ofrece integrarse a solida empresa Internacional con contrato indefinido renta entre 2,5 a 4,0 millones líquido según experiencia, interesados enviar curricululum actualizado con pretensiones de renta y disponibilidad.";"Santiago";"2025-01-13 02:53:31";"2025-03-29 (en 5 días)"
"TECNICO INFORMATICO";"None";"";"1";"con más de 40 años de experiencia en la industria de la construcción, ingeniería y herramientas, busca un Técnico Informático comprometido y proactivo para unirse a nuestro equipo en constante crecimiento. Nuestro compromiso con la innovación y la excelencia nos posiciona como líderes en soluciones de construcción.

Responsabilidades del Puesto:

Configuración, mantenimiento y soporte técnico de hardware y software en oficinas y almacenes.
Gestión y monitoreo de redes y sistemas informáticos (LAN, Wi-Fi, VPN).
Administración y resolución de incidencias en servidores, equipos de oficina, y dispositivos móviles.
Instalación y actualización de programas y sistemas operativos según las políticas de la empresa.
Implementación y monitoreo de sistemas de seguridad informática.
Soporte a usuarios internos en la resolución de problemas técnicos y capacitación en herramientas tecnológicas.
Administración de backups, sistemas en la nube y soporte de la plataforma e-commerce.
Diagnóstico y reparación de equipos informáticos, asegurando su operatividad en todo momento.
Requisitos:

Técnico en Informática o carrera afín.
Experiencia mínima de 2 años en soporte técnico, redes y administración de sistemas.
Conocimiento avanzado en Windows, Microsoft Office, y sistemas de gestión ERP/CRM.
Experiencia en la configuración de redes, cortafuegos y manejo de seguridad informática.
Habilidades de resolución de problemas técnicos y atención al detalle.
Deseable conocimiento en plataformas e-commerce


Cómo Aplicar:
Si estás interesado en formar parte de un equipo apasionado e innovador, envíanos tu CV actualizado";"Santiago";"2025-01-13 08:33:22";"2025-03-29 (en 5 días)"
"OPERADOR DE AGENDA";"650000";"";"Inelcom Chile";"¡Inelcom Chile está Contratando! Operador de Agenda

Nuestra Empresa, Inelcom Chile, empresa contratista de telecomunicaciones, está en búsqueda de Operadores, para mantener y coordinar agenda del personal técnico para unirse a nuestro equipo. Jornada Laboral por Turnos rotativos.

Las funciones principales son:

-Realizar las llamadas a los clientes para coordinar las visitas de los Técnicos a domicilio, utilizando para ello las herramientas digitales proporcionadas por la empresa, haciendo un uso racional de las mismas en base a la metodología definida por la organización.

- Recepcionar llamadas de clientes y Técnicos de la empresa.

-Gestión y control de las agendas mediante aplicación y programas establecidos por la organización.

• Realizar un control exhaustivo de la movilidad de los técnicos en tiempo real.

• Escalar por medio de su supervisor posibles de anomalías producidas en el servicio.

• Confirmación de citas y resolución inmediata de posibles incidencias.

Lo que Ofrecemos:
• Ambiente dinámico y colaborativo
• Oportunidades de crecimiento y desarrollo profesional
• jornada de Trabajo de lunes a domingo, 44 horas semanales, turnos rotativos (entre las 08:00 a 24:00 hrs.).

Cómo Postular: Interesados enviar CV a reclutamiento@inelcomchile.cl indicando en el asunto "Postulación Operador de Agenda"
e incluir pretensiones de renta.

Ubicación: Santiago - centro. Modalidad de Asistencia: Mixta

En Inelcom Chile, promovemos la inclusión y la diversidad. Invitamos a postular a personas en situación de discapacidad.
¡Únete a nuestro equipo y contribuye al éxito de proyectos innovadores en el sector de telecomunicaciones.";"Santiago";"2025-01-13 09:32:52";"2025-03-29 (en 5 días)"
"DEVELOPER SENIOR FULLSTACK(NODE.JS,REACT Y NEXT.JS 13) REMOTO";"A convenir";"-La empresa paga o copaga una cobertura de salud adicional.
-No es necesario ir a la oficina, puedes trabajar completamente desde tu casa.
-Paga o copaga un seguro dental.
-El día de tu cumpleaños es canjeable por un día completo de vacaciones.
-La empresa esta adscrita a la mutual de seguridad
-La empresa esta adscrita a una caja de compensación
";"Consistor Chile";"Buscamos profesionales para empresa Internacional para el cargo de :
Desarrollador Fullstack con sólidos conocimientos en Node.js, REACT y Next.js 13 al menos 5 años de experiencia.

Requisitos:
- Idioma inglés intermedio.
- Poseer formación Universitaria de carreras del área informatica o afín.
- Experiencia Excluyente en:
* Node.js
* React.js
* Hooks
* Redux
* Next.js 13
* CSS3 y Material-UI
* Bitbucket o Github
*Experiencia trabajando sistemas/empresas complejas o de gran tamaño.

Se Ofrece:
- Trabajo 100% Remoto.
- Beneficios Adicionales (seguro medico y dental, días libres, horario de lunes a viernes).
- Integrarse a Solida empresa Internacional.
- Contrato indefinido desde el primer día.
- Bonos por desempeño anual.
- Renta ofrecida entre 2,500,000 a 3,200,000 según experiencia.
Interesados enviar curriculum actualizado a consitor.reclutamiento@gmail.com con pretensiones de renta y disponibilidad.";"Santiago";"2025-01-13 06:53:31";"2025-03-29 (en 5 días)"
"LIDER EN TECNOLOGÍA Y TRANSFORMACIÓN DIGITAL";"2.000.0000-2.300.000";"";"Importante empresa";"Importante empresa nacional de transporte vertical se encuentra en búsqueda de su próximo Lider en tecnología y transformación digital con experiencia previa en implementación de software y desarrollo de proyectos.
El cargo sera responsable de ser el enlace con las distintas áreas de negocio, entendiendo las necesidades, conociendo los procesos y estrategias, lo que permite apoyar en la definición de las soluciones tecnológicas óptimas y eficientes, en conjunto con TI.
-Gestionar el portafolio de proyectos
-Liderar procesos de implementación y migración de sistemas.
-Eliminar deuda técnica y crear planes de actualización.
-Mapeo de los procesos de negocio, con el fin de identificar y priorizar las mejoras.
-Evaluar y seleccionar proveedores de TI.
-Optimizar costes y recursos de TI
-Detectar necesidades sobre oportunidades de innovación en IT para impulsar el negocio
-Mantenimiento permanente de las relaciones externas del proyecto: clientes, proveedores, subcontratistas, otras direcciones, etc.

Requisitos:
-Carrera: Ingenieria en software, informática o afín
-Al menos 4 años de experiencia liderando proyectos de software
-Experiencia previa en metodologias agiles
-Deseable manejo de ODOO y Python
-Deseable contar con experiencia implementando ERP

Condiciones de trabajo:
Modalidad: teletrabajo principalmente
Renta mensual liquida: 2.000.000 a 2.300.000 segun experiencia";"Santiago";"2025-01-13 12:31:38";"2025-03-29 (en 5 días)"
"INGENIERO TELECOMUNICACIONES CON CERTIFICACIÓN FORTINET";"2,000,000";"-La empresa esta adscrita a la mutual de seguridad
-La empresa esta adscrita a una caja de compensación
-Se trabaja en modalidad híbrida, puedes trabajar desde tu casa y en oficina.
";"Confidencial";"El profesional deberá realizar la validación técnica del proyecto entregado por preventa y resolver en las instancias que corresponda las dificultades y/o imprecisiones que pongan en riesgo los compromisos con los clientes.
Diseñar y liderar la estrategia de implementación técnica, entregando las directrices, plan de trabajo, plan de pruebas y definición de recursos involucrados.
Entregar las definiciones técnicas de los proyectos al equipo técnico, realizando la ingeniería de detalle.
Tener certificaciones en Fortinet.
Haber implementado proyectos SDWAN en Fortinet con componentes de seguridad (esto comprobable).
Conocimiento de implementación desde FortiManager.
Manejar protocolos de enrutamiento a nivel avanzado (Fortinet, Huawei, Cisco).
Trabajo de Lunes a Viernes con art, 22";"Santiago";"2025-01-13 11:48:33";"2025-03-29 (en 5 días)"
"INGENIERO TRAINEE DE REDES";"None";"";"Servicios de Telecomunicaciones Olitel Ltda";"DESCRIPCIÓN DEL PUESTO

¿Quieres tener la oportunidad de adquirir experiencia desarrollando proyectos, en una empresa con más de 13 años en el rubro de las telecomunicaciones?

¡Ésta es tu oportunidad!

Buscamos a Ingenieros en Telecomunicaciones, para desempeñarse en el cargo Ingeniero Trainee en Redes que tiene por objetivo apoyar en la revisión, análisis y diseño de soluciones de transmisión mediante fibra óptica (FO) y microondas (MMOO). Participará en proyectos de ingeniería y soporte operativo, contribuyendo al desarrollo y optimización de la red de transmisión del Cliente

¿Cuáles son las actividades
Revisar y analizar ingenierías previas y estudios técnicos relacionados con la red de transporte. Evaluar el estado del arte de la red actual para identificar oportunidades de mejora. Diseñar soluciones de transmisión (TX) considerando planos, cubicaciones y estructura de fibra óptica. Realizar perfiles de enlace, cálculos de enlace y checklists de infraestructura para asegurar la viabilidad técnica. Elaborar listados de materiales necesarios para la implementación de proyectos. Apoyar en el diseño de soluciones técnicas y en la confección de la ingeniería de detalles necesaria para la implementación de proyectos. Valorar y diseñar soluciones de transporte para servicios de cobertura dedicada. Velar porque las soluciones cumplan con los requerimientos técnicos y estándares de calidad definidos. Estudios de nuevas tecnologías. Manejo de equipo IP Datos, SW, Router y configuraciones de QoS, etc.
REQUISITOS

¿Qué buscamos?
Egresados en alguna carrera: Ingeniería en telecomunicaciones, Electrónica o Electricidad. Deseable manejo de AutoCAD. Es un plus: Experiencia en el diseño de Ingenierías de detalle que involucren diferentes tecnologías de la Red de Transporte. Conocimientos en redes de transmisión (FO y MMOO), diseño de enlaces y estructura de red (muy deseable) Manejo básico o intermedio de equipos de red IP, routers, QoS, y software de configuración. Deseable: Certificación CCNA (en curso o completada). Excel Intermedio


BENEFICIOS

¿Qué ofrecemos?
Modalidad híbrida Seguro complementario de salud, beneficios varios. Oportunidades de crecimiento, proyección y desarrollo profesional. Nuevos desafíos.";"Santiago";"2025-01-13 18:32:14";"2025-03-29 (en 5 días)"
"QA AUTOMATIZADOR SENIOR EXPERIENCIA SELENIUM (100% REMOTO)";"Entre 2.000.000 a 3.000.000 liquido";"-No es necesario ir a la oficina, puedes trabajar completamente desde tu casa.
-El día de tu cumpleaños es canjeable por un día completo de vacaciones.
-La empresa esta adscrita a la mutual de seguridad
-La empresa esta adscrita a una caja de compensación
";"Consistor Chile";"Buscamos un QA Automatizador senior con al menos 3 años de experiencia comprobable para el cargo, para integrarse a una empresa internacional con trabajo 100% remoto desde cualquier parte del pais solo requieres buen acceso a internet,


Funciones
Coordinación con Equipo de Calidad ISL para asegurar la metodología de trabajo a realizar.
• Construcción de escenarios y casos de pruebas para el proyecto.
• Generación de pruebas y evidencias en componentes entregados por equipo de desarrolladores.
• Aseguramiento de calidad de la solución entregada.
• Apoyo en las pruebas guiadas con el negocio.

Requisitos:

• Manejo de las herramientas SELENIUM nivel senior.
• Automatización de pruebas, orquestación de servicios y pruebas de carga.
• Creación de escenarios y casos de prueba.


Se ofrece:
Contrato Indefinido
Beneficios adicionales
trabajo 100% Remoto y calidad de vida
renta entre 2.000.000 y 3.000.000 liquido segun experiencia

Interesados enviar curriculum actualizado segun experiencia a consitor.reclutamiento@gmail.com";"Santiago";"2025-01-13 06:53:31";"2025-03-29 (en 5 días)"
"DESARROLLADOR FRONTEND REACT (SEMI SENIOR)";"Entre 1,000,000 a 1,300,000 segun...";"-La empresa paga o copaga una cobertura de salud adicional.
-¡Come saludablemente!, la oficina tiene a disposición bebestibles y snacks.
-Paga o copaga un seguro dental.
-El día de tu cumpleaños es canjeable por un día completo de vacaciones.
-La empresa esta adscrita a la mutual de seguridad
";"Consistor Chile";"Buscamos Desarrollador con solidos conocimientos en REACT y Net.Core para contratar en forma definitiva.
Requisitos:
Api Rest con Net Core 5 o mayor
Azure Functions
Azure Devops
Test Unitarios: No excluyente
Test Integración: No excluyente
React nivel medio/avanzado
Buenas prácticas KIS, DRY, SOLID: No excluyente

Se Ofrece:
- Contrato indefinido desde el primer día
- Trabajo semi Presencial (3 oficina y 2 casa)
- Beneficios Adicionales (seguro medico y dental, horario de lunes a viernes de 9 a 18 hrs).
- Reajuste Sueldo según IPC una vez al año
- Bono de desempeño anual (1 a 2 sueldos)
- Integrarse a Solida de la industria de las inversiones y finanzas contratado directamente por la empresa
financiera.
- Renta ofrecida a convenir según experiencia entre 1,050,000 a 1,300,000 liquido.
Interesados enviar curriculum actualizado a consitor.reclutamiento@gmail.com con pretensiones de renta y disponibilidad.";"Santiago";"2025-01-13 03:53:31";"2025-03-29 (en 5 días)"
"DESARROLLADOR SEMI SENIOR EXPERTO EN WEBSERVISES Y TRANSAC-SQL( 100% REMOTO)";"Entre 1,200.000 a 1.600.000 liquido...";"-No es necesario ir a la oficina, puedes trabajar completamente desde tu casa.
-El día de tu cumpleaños es canjeable por un día completo de vacaciones.
";"Consistor Chile";"Buscamos a un programador semi senior con experiencia en desarrollo en .NET con sólidos conocimientos en Web Services y Transac-sql. Con al menos 2 años de experiencia.
Requisitos:
- implementación y desarrollo de web Services
- experto en transac-sql (Sql/server)
- conocimientos en creación de procedimientos almacenados.
- desarrollador en .net al menos 2 años.

Se ofrece contrato inicial a plazo fijo por 3 meses y posible continuidad según resultados.
Renta ofrecida entre 1,2 a 1,6 millones líquido según experiencia.
Interesados enviar currículum actualizado con pretension de renta.";"Santiago";"2025-01-13 03:53:31";"2025-03-29 (en 5 días)"
"ANALISTA DE DATOS (GCP)";"None";"";"BC Tecnologia";"¡ÚNETE A NUESTRO EQUIPO COMO ANALISTA DE DATOS!

¿Eres un profesional apasionado por el análisis y la transformación de datos? Si tienes experiencia en el uso de BigQuery y DBT dentro de Google Cloud Platform (GCP), ¡esta es tu oportunidad de formar parte de un equipo innovador y en constante crecimiento!

¿Qué harás en este rol?
Diseñar y mantener canalizaciones de datos en BigQuery utilizando DBT, garantizando flujos eficientes y automatizados.
Implementar tareas programadas en GCP para la ingesta y procesamiento continuo de datos, asegurando que los procesos sean ágiles y escalables.
Construir y documentar modelos de datos optimizados para análisis, ayudando a impulsar decisiones basadas en datos de alto impacto.
Validar y probar la precisión de los datos transformados para asegurar la calidad y exactitud de la información.
Realizar seguimiento de cambios en modelos y transformaciones, manteniendo la eficiencia y consistencia a lo largo del tiempo.
¿Qué buscamos en ti?
Experiencia avanzada con BigQuery y DBT.
Conocimiento práctico en Google Cloud Platform (GCP), incluyendo tareas programadas y almacenamiento.
Sólidas habilidades en SQL y modelado de datos.
Capacidad para documentar de manera clara y eficiente tus procesos y realizar pruebas rigurosas para garantizar la precisión de los datos.
Ofrecemos
Contrato Plazo fijo indefinido
Jornada laboral Hibrida (3x2)

¡Postúlate ahora y transforma el futuro de los datos con nosotros!
Esta oferta laboral se rige bajo la Ley Nº 21.015 que incentiva la inclusión de personas con discapacidad al mundo laboral. Si requieres de apoyo o alguna adaptación para realizar tu postulación, escríbenos.";"Santiago";"2025-01-13 18:32:51";"2025-03-29 (en 5 días)"
"ESPECIALISTA WEBLOGIC";"a convenir";"";"Consisa Chile spa.";"Buscamos a un profesional del area de la informatica (ingeniero civil o de ejecuccion) con experiencia en el cargo Ingeniero WebLogic
Requisitos:
Ingeniero Titulado
Certificación Deseable no excluyente.
Experiencia mínima 2 a 3 años.

Base de Datos
Conocimientos en Oracle Database 10g y superior
Deseable conocimiento de otras bases de datos.

Middleware
Conocimientos de Weblogic 11g y superior
Cluster de WebLogic.

Interesados enviar CV, indicando renta, disponibilidad a consisa.reclutamiento@gmail.com";"Santiago";"2025-01-12 20:53:31";"2025-03-28 (en 4 días)"
"ANALISTA QA CON EXPERIENCIA EN SELENIUM AUTOMATIZACIÓN (REMOTO)";"Entre $1.850.000 a 2.500.000 liquido-";"-No es necesario ir a la oficina, puedes trabajar completamente desde tu casa.
-Paga o copaga un seguro dental.
-El día de tu cumpleaños es canjeable por un día completo de vacaciones.
-La empresa esta adscrita a la mutual de seguridad
-La empresa esta adscrita a una caja de compensación
";"Consistor Chile";"Buscamos a un profesional QA de preferencia del sexo femenino con experiencia en automatización con experiencia al menos de 3 años en el cargo y sólidos conocimientos de selenium.

Descripción del cargo y habilidades requeridas
Funciones
0.- Fundamental automatización de pruebas con selenium o similar excluyente.
1. Comprender los requisitos funcionales de las aplicaciones a probar.
2. Trabajar en conjunto con los equipos de desarrollo, pruebas y analistas funcionales.
3. Diseñar Casos de Prueba.
4. Preparar datos y ambientes de prueba.
5. Ejecutar Casos de Prueba.
6. Analizar y documentar los resultados y evidencias de las pruebas.
7. Gestionar Defectos.
8. Realizar informes de avance y gestión de las pruebas.
Habilidades y Conocimientos
1. Técnicas de pruebas de aplicaciones.
2. Herramientas de gestión de calidad y pruebas.
3. Conocimientos de automatización de aplicaciones de software (selenium u otros).
4. Conocimientos generales de desarrollo de software.
5. Conocimientos generales de arquitectura de software.

Se Ofrece:
- Trabajo 100% Remoto.
- Beneficios Adicionales (seguro medico y dental, días libres, horario de lunes a viernes).
- Integrarse a Solida empresa Internacional.
- Contrato indefinido .
- Renta ofrecida entre 1,850,000 a 2,500,000 según experiencia.
Interesados enviar curriculum actualizado en Ingles a consitor.reclutamiento@gmail.com con pretensiones de renta y disponibilidad.";"Santiago";"2025-01-12 16:53:31";"2025-03-28 (en 4 días)"
"ANALISTA PROGRAMADOR PHP (DESEABLE EXPERIENCIA CODEIGNITER)";"desde 700.000 hasta 850,000 liquido...";"";"Consisa Chile";"Buscamos a profesional de la informatica con al menos 2 años de experiencia en el cargo de Analista de Operaciones/Desarrollo

Principales Funciones (deberes y responsabilidades más importantes):

Desarrollar procesos de extracción de datos, de acuerdo a las solicitudes enviadas por clientes internos y externos.
Desarrollar reportes para usuarios externos e internos.
Generar reportes de acuerdo a definición de Gerente de Operaciones, clientes externos e internos, a través de desarrollos propios, en las plataformas de la empresa
Automatizar tareas diarias de la Gerencia
Realizar pruebas de funcionamiento de los proyectos a desarrollar,
Mantención del software, informes y actividades a través de Plataforma web
Operación de sistemas


Entorno Tecnologico ( Herramientas a su disposicion para desempeño de actividades)
Programación: MVC, PHP, JavaScript, Jquery, Visual Basic
Framework: Codeigniter – API
Front-End: Bootstrap, CSS
Bases: Mysql y SQL
Generar jobs, funciones, procedimientos almacenados en Servidor SQL Server.

Renta Ofrecida para el cargo 850.000 liquido.
Disponibilidad para trabajar los sábados

Se ofrece iintegrarse a una solida empresa con contrato indefinido y mas beneficios de la empresa los interesados enviar curriculum actualizado con pretensiones de renta a consisa.reclutamiento@gmail.com";"Santiago";"2025-01-12 14:53:31";"2025-03-28 (en 4 días)"
"ANALISTA PROGRAMADOR PHONEGAP / IONIC / CORDOBA";"Entre 900.000 a 1.200.000 liquido...";"";"Consisa Chile";"Empresa dedicada al desarollo de software está en búsqueda de profesional con experiencia en desarrollo mobile y deseable desarrollo web.
Conocimientos requeridos:
- Lenguaje de programación
- PHP
- SQL/SERVER DB
- PHONEGAP / IONIC / CORDOVA
- JAVA Deseable
-
Funciones:
- Implementación y desarrollo de aplicaciones moviles
Lugar de Trabajo: las Condes a nivel de metro
Se Ofrece :
- Integrarse a solida empresa con contrato indefinido.
Interesados enviar CV y pretensiones de renta a cpnsisa.reclutamiento@gmail.com";"Santiago";"2025-01-12 15:53:31";"2025-03-28 (en 4 días)"
"ANALISTA QA MANUAL (REMOTO)";"A convenir";"-No es necesario ir a la oficina, puedes trabajar completamente desde tu casa.
-El día de tu cumpleaños es canjeable por un día completo de vacaciones.
";"Consistor Chile";"Buscamos a un profesional QA de preferencia del sexo femenino ideal conocimientos en selenium con experiencia al menos de 3 años en el cargo con experiencia en casos de prueba

Descripción del cargo y habilidades requeridas
Funciones

1. Comprender los requisitos funcionales de las aplicaciones a probar.
2. Trabajar en conjunto con los equipos de desarrollo, pruebas y analistas funcionales.
3. Diseñar Casos de Prueba.
4. Preparar datos y ambientes de prueba.
5. Ejecutar Casos de Prueba.
6. Analizar y documentar los resultados y evidencias de las pruebas.
7. Gestionar Defectos.
8. Realizar informes de avance y gestión de las pruebas.
Habilidades y Conocimientos
1. Técnicas de pruebas de aplicaciones.
2. Herramientas de gestión de calidad y pruebas.
3. Conocimientos de automatización de aplicaciones de software (selenium u otros).
4. Conocimientos generales de desarrollo de software.
5. Conocimientos generales de arquitectura de software.

Se Ofrece:
- Trabajo 100% Remoto.
- Beneficios Adicionales (seguro medico y dental, días libres, horario de lunes a viernes).
- Integrarse a Solida empresa Internacional.
- Contrato indefinido .
- Renta ofrecida entre 1,500,000 a 2,000,000 según experiencia.
Interesados enviar curriculum actualizado consitor.reclutamiento@gmail.com con pretensiones de renta y disponibilidad.";"Santiago";"2025-01-12 13:53:31";"2025-03-28 (en 4 días)"
"DESARROLLADOR APLICACIONES WEB JUNIOR";"desde 550.000 a 700.000 liquido...";"";"Consisa Chile";"Buscamos 2 programadores web Junior con al menos 1 año de experiencia en desarrollo de aplicaciones WEB (PHP o JAVA (JEE o J2EE)) ademas que haya trabajado con base de datos (SQL/Server o MY/Sql) es deseable que conozca de desarrollo en herramientas moviles, se ofrece integrarse a solida empresa del area del desarrollo con contrato indefinido.
interesados enviar curriculum actualizado con pretensiones de renta y disponibilidad a consisa.reclutamiento@gmail.com.
Necesitamos cubrir 2 vacante para este cargo.";"Santiago";"2025-01-12 13:53:31";"2025-03-28 (en 4 días)"
"ANALISTA QA TESTING JUNIOR (100% REMOTO)";"desde 850.000 a 950.000 liquido...";"-La empresa paga o copaga una cobertura de salud adicional.
-No es necesario ir a la oficina, puedes trabajar completamente desde tu casa.
-¡La salud es lo más importante! La empresa paga el seguro de vida
-El día de tu cumpleaños es canjeable por un día completo de vacaciones.
";"Consistor Chile";"Buscamos a un profesional QA de preferencia del sexo femenino con experiencia al menos de 1 años en el cargo

2. Descripción del cargo y habilidades requeridas
Funciones
1. Comprender los requisitos funcionales de las aplicaciones a probar.
2. Trabajar en conjunto con los equipos de desarrollo, pruebas y analistas funcionales.
3. Diseñar Casos de Prueba.
4. Preparar datos y ambientes de prueba.
5. Ejecutar Casos de Prueba.
6. Analizar y documentar los resultados y evidencias de las pruebas.
7. Gestionar Defectos.
8. Realizar informes de avance y gestión de las pruebas.
Habilidades y Conocimientos
1. Técnicas de pruebas de aplicaciones.
2. Herramientas de gestión de calidad y pruebas.
3. Conocimientos generales de aplicaciones de software (selenium u otros).
4. Conocimientos generales de desarrollo de software.
5. Conocimientos generales de arquitectura de software.
Deseable conocimientos de selenium o herramientas automatizadas de pruebas

Renta Ofrecida para el cargo desde 850.000 a 950.000 liquido según experiencia.

se ofrece integrarse a solida empresa de desarrollo de software con contrato indefinido los interesado enviar curriculum actualizado con pretensiones de renta a consitor.reclutamiento@gmail.com";"Santiago";"2025-01-12 09:53:31";"2025-03-28 (en 4 días)"
"ANALISTA DESARROLLADOR SENIOR EN .NET O JAVA CHILENOS SOLAMENTE";"RENTA ENTRE $1.000.000 a $ 1.250.000...";"";"Consisa Chile";"Buscamos profesional de area de la Informatica para integrarse a solida empresa del ambito financiero

Perfil .Net
- Analista Programador
- Experiencia mínima 3 años
- Lenguaje de programación:
o Dominio de XML/XSLT
o .NET, VB MVC 3 (Superior) Framework 4. (excluyente).
o SQL
o Se valora conocimiento SOAP (Web Services)
- Renta líquida: $1.000.000 a $ 1.250.000

Se Ofrece integrarse a solida empresa con contrato indefinido, beneficios adicionales, y horario de trabajo de 9:00 a 18:30 de lunes a viernes a nivel del metro. interesados enviar curriculum actualizado con pretensiones de renta a consisa.reclutamiento@gmail.com y mencionar disponibilidad. solo chilenos.";"Santiago";"2025-01-12 20:53:31";"2025-03-28 (en 4 días)"
